Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
97,Dan-Axel Zagadou,fr FRA,"DF,MF",Stuttgart,25,"€ 54,423 (£ 45,937, $56,101)","€ 2,830,000 (£ 2,388,736, $2,917,249)",Unverified estimation
98,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22,"€ 54,423 (£ 45,889, $60,916)","€ 2,830,000 (£ 2,386,233, $3,167,638)",
99,Ermedin Demirović,ba BIH,FW,Stuttgart,26,"€ 54,423 (£ 45,937, $56,101)","€ 2,830,000 (£ 2,388,736, $2,917,249)",Unverified estimation
100,Arthur Vermeeren,,CM,RB Leipzig,19,"€ 54,423 (£ 45,937, $56,101)","€ 2,830,000 (£ 2,388,736, $2,917,249)",Unverified estimation
101,Jonathan Tah,de GER,DF,Leverkusen,28,"€ 54,423 (£ 45,937, $56,101)","€ 2,830,000 (£ 2,388,736, $2,917,249)",
102,Michy Batshuayi,be BEL,FW,Eint Frankfurt,30,"€ 54,423 (£ 45,889, $60,916)","€ 2,830,000 (£ 2,386,233, $3,167,638)",
103,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,"€ 54,231 (£ 45,775, $55,903)","€ 2,820,000 (£ 2,380,295, $2,906,941)",Unverified estimation
104,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,29,"€ 53,846 (£ 45,450, $55,506)","€ 2,800,000 (£ 2,363,414, $2,886,324)",Unverified estimation
105,Ihlas Bebou,tg TOG,MF,Hoffenheim,30,"€ 51,923 (£ 43,827, $53,524)","€ 2,700,000 (£ 2,279,006, $2,783,241)",Unverified estimation
106,Steve Mounié,bj BEN,"FW,MF",Augsburg,29,"€ 50,769 (£ 42,853, $52,334)","€ 2,640,000 (£ 2,228,361, $2,721,391)",Unverified estimation
107,Lucas Tousart,fr FRA,MF,Union Berlin,27,"€ 50,000 (£ 42,204, $51,542)","€ 2,600,000 (£ 2,194,598, $2,680,158)",Unverified estimation
108,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,"€ 50,000 (£ 42,204, $51,542)","€ 2,600,000 (£ 2,194,598, $2,680,158)",
109,Florian Grillitsch,at AUT,MF,Hoffenheim,28,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",Unverified estimation
