Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
77,Ivan Provedel,it ITA,GK,Lazio,30,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
78,Nicolò Rovella,it ITA,MF,Lazio,22,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
79,Nuno Tavares,pt POR,DF,Lazio,24,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
80,Angeliño,es ESP,DF,Roma,27,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
81,Matías Soulé,,RW,Roma,21,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
82,Mats Hummels,de GER,DF,Roma,35,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
83,Alex Meret,it ITA,GK,Napoli,27,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
84,Khéphren Thuram,fr FRA,MF,Juventus,23,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
85,Michele Di Gregorio,it ITA,GK,Juventus,27,"€ 71,154 (£ 60,059, $73,348)","€ 3,700,000 (£ 3,123,082, $3,814,071)",
86,Stanislav Lobotka,sk SVK,MF,Napoli,29,"€ 69,038 (£ 58,274, $71,167)","€ 3,590,000 (£ 3,030,234, $3,700,680)",
87,Mike Maignan,fr FRA,GK,Milan,29,"€ 69,038 (£ 58,274, $71,167)","€ 3,590,000 (£ 3,030,234, $3,700,680)",
88,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,28,"€ 66,538 (£ 56,164, $68,590)","€ 3,460,000 (£ 2,920,504, $3,566,672)",
89,Che Adams,sct SCO,FW,Torino,28,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
90,Samuele Ricci,it ITA,MF,Torino,22,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
91,Vitinha,,CF,Genoa,24,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",Unverified estimation
92,Matías Vecino,uy URU,MF,Lazio,32,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
93,Raoul Bellanova,it ITA,DF,Atalanta,24,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
94,Billy Gilmour,sct SCO,MF,Napoli,23,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
95,Giovanni Simeone,ar ARG,FW,Napoli,29,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
96,Leonardo Spinazzola,it ITA,"DF,FW",Napoli,31,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
97,Mário Rui,pt POR,LB,Napoli,33,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
98,Matteo Gabbia,it ITA,DF,Milan,24,"€ 64,038 (£ 54,053, $66,013)","€ 3,330,000 (£ 2,810,774, $3,432,664)",
99,Mattéo Guendouzi,fr FRA,MF,Lazio,25,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
100,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,23,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
101,Ridgeciano Haps,sr SUR,DF,Venezia,31,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
102,Amir Rrahmani,xk KVX,DF,Napoli,30,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
103,Matteo Darmian,it ITA,DF,Inter,34,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
104,Yann Sommer,ch SUI,GK,Inter,35,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
105,Luka Jović,rs SRB,"FW,MF",Milan,26,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
106,Weston McKennie,us USA,"MF,DF",Juventus,25,"€ 61,731 (£ 52,105, $63,634)","€ 3,210,000 (£ 2,709,485, $3,308,965)",
107,Cristiano Biraghi,it ITA,DF,Torino,31,"€ 60,577 (£ 51,078, $67,804)","€ 3,150,000 (£ 2,656,054, $3,525,816)",Unverified estimation
108,Guillermo Maripán,cl CHI,DF,Torino,30,"€ 60,577 (£ 51,132, $62,445)","€ 3,150,000 (£ 2,658,840, $3,247,115)",Unverified estimation
109,Armando Izzo,it ITA,DF,Monza,32,"€ 60,577 (£ 51,132, $62,445)","€ 3,150,000 (£ 2,658,840, $3,247,115)",
110,Christian Kouamé,ci CIV,"FW,MF",Fiorentina,26,"€ 60,577 (£ 51,132, $62,445)","€ 3,150,000 (£ 2,658,840, $3,247,115)",
111,Manuel Lazzari,it ITA,DF,Lazio,30,"€ 60,577 (£ 51,132, $62,445)","€ 3,150,000 (£ 2,658,840, $3,247,115)",
112,Strahinja Pavlović,rs SRB,DF,Milan,23,"€ 60,577 (£ 51,132, $62,445)","€ 3,150,000 (£ 2,658,840, $3,247,115)",
113,Antonio Sanabria,py PAR,FW,Torino,28,"€ 56,923 (£ 48,047, $58,678)","€ 2,960,000 (£ 2,498,466, $3,051,257)",
114,Thijs Dallinga,nl NED,FW,Bologna,23,"€ 56,923 (£ 48,047, $58,678)","€ 2,960,000 (£ 2,498,466, $3,051,257)",
115,Rolando Mandragora,it ITA,MF,Fiorentina,27,"€ 56,923 (£ 48,047, $58,678)","€ 2,960,000 (£ 2,498,466, $3,051,257)",
116,Kenan Yıldız,,SS,Juventus,19,"€ 56,923 (£ 48,047, $58,678)","€ 2,960,000 (£ 2,498,466, $3,051,257)",
117,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,27,"€ 54,231 (£ 45,775, $55,903)","€ 2,820,000 (£ 2,380,295, $2,906,941)",
118,Moise Kean,it ITA,FW,Fiorentina,24,"€ 54,231 (£ 45,775, $55,903)","€ 2,820,000 (£ 2,380,295, $2,906,941)",
119,Pedro,es ESP,"FW,MF",Lazio,37,"€ 54,231 (£ 45,775, $55,903)","€ 2,820,000 (£ 2,380,295, $2,906,941)",
120,Mateo Retegui,it ITA,FW,Atalanta,25,"€ 54,231 (£ 45,775, $55,903)","€ 2,820,000 (£ 2,380,295, $2,906,941)",
121,Carlos Augusto,br BRA,DF,Inter,25,"€ 54,231 (£ 45,775, $55,903)","€ 2,820,000 (£ 2,380,295, $2,906,941)",
122,Alexis Sánchez,cl CHI,FW,Udinese,35,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",Unverified estimation
123,Cesare Casadei,,CM,Torino,22,"€ 53,462 (£ 45,078, $59,840)","€ 2,780,000 (£ 2,344,073, $3,111,673)",
124,Elif Elmas,mk MKD,"FW,MF",Torino,24,"€ 53,462 (£ 45,078, $59,840)","€ 2,780,000 (£ 2,344,073, $3,111,673)",Unverified estimation
125,Andrea Petagna,it ITA,FW,Monza,29,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
126,Roberto Gagliardini,it ITA,"MF,DF",Monza,30,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
127,Andrea Belotti,it ITA,FW,Como,30,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",Unverified estimation
128,Danilo Cataldi,it ITA,MF,Fiorentina,29,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
129,Fabiano Parisi,it ITA,"DF,MF",Fiorentina,23,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
130,Juan Cuadrado,co COL,"DF,MF",Atalanta,36,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
131,Francesco Acerbi,it ITA,DF,Inter,36,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
132,Josep Martinez,es ESP,GK,Inter,26,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
133,Kristjan Asllani,al ALB,MF,Inter,22,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",Unverified estimation
134,Tajon Buchanan,ca CAN,"DF,FW",Inter,25,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
135,Mattia Perin,it ITA,GK,Juventus,31,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",
136,Hernani,br BRA,MF,Parma,30,"€ 53,462 (£ 45,126, $55,110)","€ 2,780,000 (£ 2,346,532, $2,865,708)",Unverified estimation
137,Marin Pongračić,hr CRO,DF,Fiorentina,26,"€ 51,731 (£ 43,665, $53,326)","€ 2,690,000 (£ 2,270,565, $2,772,933)",
138,Karol Linetty,pl POL,MF,Torino,29,"€ 49,808 (£ 42,042, $51,343)","€ 2,590,000 (£ 2,186,158, $2,669,850)",
