Player,Nation,Team,Position,Age,Season,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
James Maddison,eng ENG,Tottenham,MF,27,24-25,EPL,0.45,0.35,0.8,0.45,0.0,0.0,0.3,0.0,0.29,0.29,0.21,0.5,2.24,8.16,4.73,1.94,0.85,0.436,0.23,0.53,16.7,0.3,0.15,0.16,0.16,50.8,62.49,0.813,829.05,250.15,23.93,26.32,0.909,21.09,24.48,0.862,3.73,8.06,0.4629999999999999,0.29,2.04,6.12,1.59,0.25,55.62,6.57,2.39,0.6,0.25,4.88,0.25,2.94,1.84,0.4,0.0,0.3,0.55,4.73,3.28,0.65,0.35,0.15,0.3,0.0,0.9,0.6,0.1,0.15,0.05,0.0,0.0,1.54,0.95,0.4,0.8,0.35,0.45,1.44,0.31,1.0,0.75,0.2,0.6,2.14,0.95,0.05,72.84,1.29,10.45,34.38,28.66,3.83,72.84,3.83,1.64,0.429,1.69,0.442,51.04,255.12,113.38,1.94,1.0,1.14,1.24,55.97,0.0,1.59,3.18,0.2,0.0,0.0,0.0,3.78,0.25,0.35,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Romero,ar ARG,Tottenham,DF,26,24-25,EPL,0.06,0.0,0.06,0.06,0.0,0.0,0.19,0.0,0.1,0.1,0.04,0.14,0.76,4.51,0.19,1.02,0.51,0.5,0.06,0.13,9.1,0.0,0.1,-0.04,-0.04,69.53,77.73,0.895,1296.74,521.0,23.52,25.74,0.914,40.04,42.27,0.947,5.08,8.01,0.635,0.05,0.44,6.93,0.51,0.06,71.19,6.42,5.08,0.25,0.13,0.19,0.44,0.0,0.0,0.0,0.0,0.13,0.95,1.27,1.02,0.0,0.0,0.25,0.0,0.0,0.25,0.19,0.0,0.0,0.06,0.0,0.0,2.22,1.84,1.65,0.51,0.06,1.33,1.91,0.7,0.57,1.14,0.19,1.33,3.56,3.62,0.13,87.52,9.98,37.75,45.76,4.7,1.46,87.52,0.25,0.06,0.25,0.13,0.5,56.95,298.86,183.88,1.14,0.0,0.64,0.32,59.49,0.0,0.89,0.76,0.13,0.0,0.0,0.0,5.72,2.61,1.72,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo Werner,de GER,Tottenham,"FW,MF",28,24-25,EPL,0.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.44,0.61,7.33,5.23,15.52,1.4,0.52,0.375,0.0,0.0,18.2,0.0,0.12,-0.17,-0.17,27.56,41.16,0.669,415.64,104.13,13.95,16.92,0.825,10.64,15.0,0.7090000000000001,1.22,3.14,0.389,0.26,1.74,0.52,2.62,0.35,38.72,2.09,0.35,0.35,0.35,4.88,1.4,0.35,0.17,0.0,0.0,0.35,1.57,3.14,2.44,0.0,0.35,0.17,0.17,0.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0,1.05,0.7,0.52,0.52,0.0,0.52,2.27,0.231,1.74,1.74,0.17,0.17,1.22,1.22,0.0,51.98,1.4,4.19,13.6,35.41,5.76,51.98,3.31,1.74,0.526,1.4,0.421,37.5,308.37,185.23,4.19,3.14,2.44,1.05,39.59,0.0,0.52,0.87,0.87,0.0,0.0,0.0,3.14,0.0,0.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Robertson,sct SCO,Liverpool,DF,30,24-25,EPL,0.0,0.04,0.04,0.0,0.0,0.0,0.11,0.04,0.04,0.04,0.17,0.21,2.32,6.38,3.92,0.54,0.07,0.133,0.0,0.0,14.9,0.0,0.08,-0.04,-0.04,56.53,68.35,0.8270000000000001,954.03,304.85,27.56,29.23,0.943,24.37,28.25,0.863,3.99,8.59,0.4639999999999999,0.16,1.45,5.44,1.12,0.62,57.26,10.88,1.81,0.15,0.22,5.33,6.93,2.14,1.49,0.4,0.0,0.22,0.22,2.9,2.47,0.33,0.04,0.04,0.0,0.04,0.15,0.15,0.0,0.0,0.0,0.0,0.0,1.41,0.8,0.91,0.36,0.15,1.12,1.85,0.608,0.73,0.36,0.15,0.76,2.18,1.96,0.07,75.57,3.34,19.54,34.09,22.48,1.92,75.57,0.65,0.25,0.389,0.36,0.556,40.14,179.17,103.27,1.89,0.22,0.91,0.47,50.73,0.0,0.4,0.29,0.11,0.0,0.04,0.04,3.81,0.25,0.51,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Guimarães,br BRA,Newcastle Utd,MF,26,24-25,EPL,0.14,0.17,0.3,0.14,0.0,0.0,0.19,0.0,0.12,0.12,0.17,0.29,1.76,7.46,2.64,1.24,0.36,0.289,0.11,0.38,16.4,0.0,0.1,0.02,0.02,40.75,49.47,0.8240000000000001,672.34,216.26,20.25,22.29,0.909,15.99,18.43,0.867,3.25,5.53,0.5870000000000001,0.15,1.43,4.95,2.12,0.17,46.99,2.23,1.93,0.61,0.39,0.77,0.08,0.14,0.06,0.06,0.0,0.25,0.72,3.66,3.27,0.08,0.08,0.03,0.11,0.08,0.5,0.47,0.03,0.0,0.0,0.0,0.0,2.28,1.29,1.13,0.83,0.33,0.91,1.9,0.478,0.99,0.99,0.28,0.8,3.08,1.21,0.14,60.89,2.28,12.24,31.12,18.21,2.34,60.89,2.15,0.94,0.436,0.74,0.346,38.52,213.6,95.83,1.27,0.41,1.54,2.09,45.45,0.0,1.79,2.97,0.06,0.0,0.0,0.0,5.17,0.5,0.52,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,nl NED,Manchester City,DF,29,24-25,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,1.59,6.64,0.27,0.4,0.0,0.0,0.0,,10.0,0.0,0.07,-0.03,-0.03,67.57,71.95,0.939,1104.56,391.59,32.92,33.58,0.98,31.46,32.39,0.971,2.65,4.51,0.588,0.03,0.13,5.58,0.13,0.0,68.23,3.45,1.73,0.0,0.0,0.13,0.93,0.0,0.0,0.0,0.0,0.27,0.66,1.06,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.93,0.93,0.27,0.0,0.53,0.8,0.667,0.27,0.93,0.27,0.4,1.59,2.92,0.13,79.12,6.77,27.21,43.94,8.1,0.66,79.12,0.13,0.13,1.0,0.0,0.0,53.5,297.88,199.25,1.59,0.13,0.53,0.4,59.6,0.0,0.27,0.0,0.0,0.0,0.0,0.0,3.19,1.73,1.33,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Neto,pt POR,Chelsea,FW,24,24-25,EPL,0.16,0.24,0.4,0.16,0.0,0.0,0.32,0.0,0.14,0.14,0.27,0.4,5.0,2.38,10.04,2.34,0.67,0.288,0.07,0.24,18.2,0.0,0.06,0.02,0.02,27.84,35.5,0.784,450.08,95.91,13.76,14.8,0.93,10.59,12.93,0.8190000000000001,2.38,5.04,0.472,0.19,1.82,1.19,1.47,0.91,32.01,3.41,0.56,0.0,0.2,5.91,0.52,2.22,0.63,0.6,0.2,0.08,0.48,3.57,2.54,0.36,0.24,0.28,0.16,0.0,0.36,0.2,0.04,0.08,0.04,0.0,0.0,0.91,0.36,0.36,0.36,0.2,0.36,0.83,0.429,0.48,0.56,0.08,0.36,1.27,0.24,0.0,45.73,0.52,3.97,13.33,29.15,4.6,45.73,4.13,1.35,0.327,1.82,0.442,29.59,251.32,132.56,2.26,1.78,1.78,1.19,33.24,0.0,0.83,1.31,0.12,0.0,0.0,0.0,3.21,0.44,1.19,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Bowen,eng ENG,West Ham,"FW,MF",27,24-25,EPL,0.39,0.24,0.64,0.36,0.03,0.03,0.03,0.0,0.26,0.24,0.21,0.45,3.3,2.75,6.42,2.6,1.09,0.419,0.14,0.33,17.4,0.03,0.09,0.13,0.13,17.68,24.67,0.7170000000000001,286.86,81.34,9.87,11.75,0.84,5.66,7.57,0.748,1.63,2.85,0.574,0.2,1.54,1.24,1.39,0.24,21.86,2.63,0.18,0.21,0.12,3.21,0.09,1.33,0.85,0.45,0.0,0.18,0.54,3.42,2.12,0.39,0.18,0.39,0.27,0.06,0.45,0.33,0.06,0.03,0.03,0.0,0.0,1.24,0.79,0.39,0.36,0.48,0.58,1.21,0.475,0.64,0.67,0.12,0.48,1.73,0.76,0.0,37.9,0.85,4.0,14.11,20.52,5.18,37.87,3.94,1.33,0.3379999999999999,2.3,0.585,22.43,160.63,75.71,1.39,1.85,2.12,2.33,25.25,0.0,0.61,1.54,0.3,0.0,0.0,0.0,3.91,0.36,1.45,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Paquetá,br BRA,West Ham,"MF,FW",26,24-25,EPL,0.15,0.0,0.15,0.08,0.08,0.08,0.38,0.0,0.2,0.14,0.12,0.26,0.98,5.86,3.21,1.47,0.11,0.077,0.05,0.67,19.5,0.15,0.1,-0.05,-0.06,42.58,55.06,0.773,706.5,227.42,22.31,26.47,0.843,14.71,18.68,0.787,4.5,6.96,0.647,0.12,1.36,4.99,1.66,0.15,51.69,3.06,1.32,0.68,0.45,1.1,0.45,0.15,0.04,0.11,0.0,0.3,0.95,3.1,2.57,0.08,0.08,0.15,0.19,0.04,0.23,0.11,0.0,0.0,0.08,0.04,0.0,2.5,1.4,0.95,1.13,0.42,1.02,2.08,0.491,1.06,1.1,0.15,0.68,3.18,1.4,0.23,67.92,2.34,13.88,37.4,17.17,2.23,67.84,1.78,0.79,0.447,0.79,0.447,34.83,126.98,53.55,1.29,0.08,2.04,1.93,47.95,0.0,2.0,2.34,0.23,0.0,0.04,0.0,5.63,1.82,2.16,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,ar ARG,Liverpool,MF,25,24-25,EPL,0.17,0.17,0.35,0.17,0.0,0.0,0.21,0.0,0.1,0.1,0.16,0.26,1.25,6.13,2.77,1.32,0.45,0.342,0.13,0.38,18.1,0.03,0.07,0.08,0.08,44.08,52.77,0.835,704.49,199.05,22.79,25.24,0.903,17.07,19.32,0.884,3.08,5.54,0.556,0.19,1.56,4.22,1.21,0.07,48.58,4.02,1.21,0.21,0.1,2.98,0.31,2.46,0.9,1.25,0.0,0.17,1.9,4.16,2.87,0.83,0.07,0.21,0.07,0.1,0.52,0.35,0.1,0.0,0.07,0.0,0.0,3.29,2.01,0.97,1.77,0.55,1.9,3.6,0.529,1.7,2.11,0.21,0.76,4.05,1.0,0.03,64.41,1.94,9.83,33.24,22.06,2.08,64.41,1.45,0.55,0.381,0.73,0.5,31.65,130.65,69.57,1.49,0.17,1.07,0.76,42.49,0.0,2.15,1.39,0.07,0.0,0.0,0.0,5.13,0.66,1.18,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,br BRA,Liverpool,GK,31,24-25,EPL,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,3.59,2.62,0.708,0.65,0.25,0.11,0.32,0.3329999999999999,0.04,0.0,0.0,0.0,,0.0,0.07,0.07,1.09,0.3,0.09,2.44,7.28,0.335,31.47,4.59,0.1969999999999999,26.6,2.87,0.375,33.4,9.15,0.39,0.043,1.76,16.0
Ryan Gravenberch,nl NED,Liverpool,MF,22,24-25,EPL,0.0,0.11,0.11,0.0,0.0,0.0,0.17,0.03,0.03,0.03,0.09,0.12,1.99,5.16,1.57,0.57,0.14,0.25,0.0,0.0,24.5,0.0,0.06,-0.03,-0.03,48.93,54.88,0.892,737.77,185.92,26.12,28.22,0.925,19.37,20.99,0.923,1.82,2.96,0.615,0.1,0.74,4.3,1.0,0.06,53.8,0.91,0.46,0.23,0.2,0.2,0.28,0.0,0.0,0.0,0.0,0.17,0.71,1.94,1.71,0.0,0.14,0.06,0.0,0.03,0.17,0.17,0.0,0.0,0.0,0.0,0.0,1.97,1.0,0.77,0.83,0.37,0.91,1.59,0.5710000000000001,0.68,1.0,0.28,1.71,3.67,1.68,0.06,66.73,3.33,14.5,38.56,14.58,0.74,66.73,2.31,1.05,0.457,0.85,0.37,39.76,212.24,106.58,2.14,0.28,1.57,0.74,47.53,0.0,1.34,1.48,0.0,0.0,0.0,0.0,5.5,0.74,0.4,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boubacar Kamara,fr FRA,Aston Villa,MF,24,24-25,EPL,0.05,0.0,0.05,0.05,0.0,0.0,0.1,0.0,0.04,0.04,0.05,0.09,0.99,4.43,0.37,0.52,0.16,0.3,0.1,0.33,19.6,0.0,0.08,0.01,0.01,43.02,48.55,0.8859999999999999,680.68,210.5,21.95,23.67,0.927,18.62,20.34,0.915,1.77,3.23,0.5479999999999999,0.04,0.57,4.75,0.52,0.0,47.14,1.41,1.3,0.26,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.41,1.04,0.05,0.05,0.1,0.05,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.61,1.1,1.46,0.94,0.21,1.51,2.92,0.518,1.41,0.99,0.37,0.99,3.6,2.66,0.16,58.04,4.95,17.94,33.22,7.35,0.63,58.04,1.41,0.47,0.3329999999999999,0.47,0.3329999999999999,30.82,155.18,71.44,0.68,0.1,0.63,0.89,39.32,0.0,1.56,1.83,0.0,0.0,0.0,0.0,4.54,1.1,1.36,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,ar ARG,Aston Villa,GK,31,24-25,EPL,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,4.0,2.71,0.679,0.51,0.25,0.28,0.23,0.235,0.03,0.03,0.0,0.5,,0.03,0.06,0.0,1.29,0.32,0.01,4.56,11.83,0.386,34.04,3.72,0.257,30.4,4.85,0.593,46.3,14.03,1.58,0.1119999999999999,0.99,13.7
Youri Tielemans,be BEL,Aston Villa,MF,27,24-25,EPL,0.09,0.21,0.3,0.09,0.0,0.03,0.12,0.0,0.1,0.07,0.21,0.28,1.16,6.99,1.43,1.19,0.36,0.3,0.08,0.25,20.1,0.0,0.06,-0.01,0.01,50.38,61.3,0.8220000000000001,863.98,304.68,23.41,26.05,0.898,21.92,25.1,0.873,4.16,7.7,0.541,0.17,1.78,6.81,1.13,0.12,54.93,6.16,2.91,0.71,0.24,3.54,0.06,2.53,1.87,0.24,0.03,0.21,0.65,3.63,2.35,0.92,0.09,0.18,0.06,0.03,0.36,0.27,0.09,0.0,0.0,0.0,0.0,2.5,1.73,0.95,1.31,0.24,1.19,2.17,0.5479999999999999,0.98,1.13,0.48,0.68,3.18,1.4,0.12,70.94,3.06,14.25,40.63,16.8,1.34,70.91,1.81,0.92,0.508,0.57,0.311,38.31,165.4,75.87,0.77,0.27,0.92,0.86,49.58,0.0,1.22,1.67,0.0,0.0,0.0,0.0,4.31,0.65,0.54,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Gordon,eng ENG,Newcastle Utd,"FW,MF",23,24-25,EPL,0.22,0.18,0.41,0.18,0.04,0.07,0.07,0.0,0.3,0.24,0.18,0.42,4.47,3.62,7.91,2.11,0.59,0.281,0.09,0.31,17.0,0.04,0.11,-0.07,-0.06,26.62,36.31,0.733,411.47,134.67,14.68,17.16,0.856,9.02,11.54,0.782,2.07,4.62,0.4479999999999999,0.19,1.89,2.4,2.03,0.63,31.69,4.33,0.89,0.33,0.15,4.84,1.26,1.96,1.29,0.26,0.0,0.3,0.85,3.73,2.7,0.37,0.26,0.11,0.3,0.0,0.44,0.33,0.04,0.04,0.0,0.04,0.0,1.18,0.67,0.33,0.67,0.18,0.44,1.37,0.324,0.92,0.92,0.07,0.26,1.44,0.33,0.11,46.85,0.59,4.62,17.56,25.4,4.73,46.77,3.81,1.41,0.369,1.74,0.456,30.25,225.52,121.84,2.29,2.07,1.33,1.41,34.17,0.0,0.74,2.63,0.3,0.04,0.0,0.0,3.59,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joelinton,br BRA,Newcastle Utd,"MF,FW",27,24-25,EPL,0.15,0.11,0.26,0.15,0.0,0.0,0.38,0.0,0.15,0.15,0.09,0.24,1.5,4.36,4.14,1.69,0.49,0.289,0.09,0.31,14.0,0.0,0.09,0.0,0.0,32.46,39.23,0.8270000000000001,458.8,127.27,19.9,22.68,0.877,10.42,12.04,0.866,1.24,2.07,0.6,0.09,0.87,3.01,0.64,0.08,38.14,0.98,0.41,0.26,0.08,0.6,0.53,0.0,0.0,0.0,0.0,0.11,1.13,2.29,1.73,0.08,0.04,0.19,0.04,0.23,0.34,0.26,0.0,0.0,0.04,0.0,0.04,2.14,1.32,0.87,0.87,0.41,0.94,1.65,0.568,0.71,1.39,0.26,0.87,3.01,1.77,0.08,51.15,2.52,9.63,25.2,16.85,3.12,51.15,1.73,0.56,0.326,1.05,0.609,27.42,135.32,67.17,0.98,0.34,1.47,1.99,35.13,0.0,2.18,1.32,0.26,0.0,0.0,0.0,5.6,2.22,1.73,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Kovačić,hr CRO,Manchester City,MF,30,24-25,EPL,0.25,0.08,0.33,0.25,0.0,0.0,0.2,0.04,0.08,0.08,0.15,0.23,2.29,6.72,0.66,1.84,0.49,0.267,0.13,0.5,22.9,0.0,0.04,0.17,0.17,71.33,77.06,0.926,1116.97,298.01,37.63,39.6,0.95,30.1,31.53,0.955,2.83,4.3,0.657,0.13,1.35,8.43,1.23,0.0,75.55,1.35,1.31,0.61,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.82,2.99,2.42,0.0,0.16,0.2,0.16,0.04,0.33,0.25,0.0,0.04,0.04,0.0,0.0,2.83,1.56,0.94,1.56,0.33,1.27,2.66,0.477,1.39,0.82,0.0,0.98,3.81,0.86,0.04,86.93,2.17,13.02,49.09,25.67,0.7,86.93,1.68,0.9,0.537,0.45,0.268,59.17,343.83,162.19,3.19,0.12,0.78,1.19,70.8,0.0,0.98,1.06,0.0,0.0,0.0,0.0,4.67,0.41,0.37,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés Caicedo,ec ECU,Chelsea,"MF,DF",22,24-25,EPL,0.03,0.05,0.08,0.03,0.0,0.0,0.3,0.0,0.02,0.02,0.08,0.1,1.15,5.77,0.99,0.54,0.08,0.15,0.05,0.33,25.3,0.0,0.04,0.01,0.01,52.83,58.93,0.897,908.7,240.35,23.98,25.89,0.926,23.58,25.54,0.923,4.27,5.59,0.764,0.08,0.81,6.31,0.91,0.05,56.83,1.99,1.26,0.32,0.35,0.27,0.73,0.0,0.0,0.0,0.0,0.11,1.05,2.63,2.31,0.0,0.05,0.0,0.08,0.19,0.24,0.16,0.0,0.0,0.0,0.05,0.03,3.06,1.96,1.18,1.45,0.43,1.45,2.31,0.628,0.86,1.32,0.27,1.32,4.38,1.61,0.03,69.27,2.55,15.09,42.17,12.78,0.4,69.27,1.72,0.78,0.4529999999999999,0.59,0.344,37.84,184.83,90.89,1.02,0.05,0.99,0.67,47.81,0.0,1.88,1.56,0.0,0.05,0.03,0.0,6.15,0.94,0.43,0.6859999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darwin Núñez,uy URU,Liverpool,FW,25,24-25,EPL,0.4,0.16,0.56,0.4,0.0,0.0,0.64,0.0,0.46,0.46,0.1,0.56,1.83,2.14,6.2,2.7,1.03,0.382,0.15,0.38,14.3,0.0,0.17,-0.06,-0.06,12.95,18.27,0.7090000000000001,189.85,46.63,7.07,8.82,0.802,3.81,5.16,0.738,1.03,1.59,0.65,0.04,0.87,0.71,0.24,0.08,17.87,0.32,0.0,0.08,0.48,0.24,0.16,0.0,0.0,0.0,0.0,0.08,0.48,2.46,1.67,0.0,0.32,0.08,0.16,0.24,0.32,0.24,0.0,0.0,0.0,0.08,0.0,1.67,1.43,0.87,0.32,0.48,0.56,1.43,0.389,0.87,0.48,0.0,0.32,1.99,0.95,0.0,29.07,0.79,3.57,9.69,16.68,5.88,29.07,1.83,0.64,0.348,1.11,0.609,15.97,84.44,45.12,1.51,0.95,1.91,1.67,19.7,0.0,2.14,1.11,0.95,0.08,0.0,0.0,3.26,1.59,2.62,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Jota,pt POR,Liverpool,FW,27,24-25,EPL,0.45,0.23,0.68,0.45,0.0,0.0,0.15,0.0,0.59,0.59,0.14,0.74,2.78,2.56,6.62,3.84,0.98,0.255,0.12,0.46,12.4,0.0,0.16,-0.14,-0.14,16.25,23.33,0.6970000000000001,249.31,62.38,8.5,11.06,0.769,5.94,7.83,0.76,0.98,1.73,0.565,0.08,0.83,2.18,0.23,0.08,22.95,0.23,0.0,0.08,0.15,0.6,0.08,0.0,0.0,0.0,0.0,0.15,0.68,2.78,1.81,0.0,0.45,0.38,0.08,0.08,0.68,0.38,0.0,0.15,0.08,0.08,0.0,1.05,0.6,0.15,0.6,0.3,0.53,1.43,0.368,0.9,0.68,0.0,0.6,1.66,0.45,0.0,36.5,0.45,2.63,14.9,19.49,7.3,36.5,2.48,0.83,0.33299999999999996,1.51,0.606,19.79,112.88,59.9,1.73,1.58,3.01,1.66,25.06,0.0,1.73,1.05,0.08,0.08,0.0,0.0,3.09,1.66,2.41,0.40700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Onana,be BEL,Aston Villa,MF,22,24-25,EPL,0.17,0.0,0.17,0.17,0.0,0.0,0.22,0.0,0.12,0.12,0.04,0.16,1.61,4.17,0.89,0.95,0.33,0.353,0.18,0.5,14.7,0.0,0.12,0.05,0.05,39.13,44.64,0.877,615.47,161.24,20.32,21.87,0.929,16.14,18.09,0.892,1.89,2.67,0.708,0.04,0.56,3.84,0.67,0.11,44.3,0.28,0.22,0.17,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.5,1.78,1.39,0.11,0.06,0.22,0.0,0.0,0.22,0.11,0.06,0.0,0.06,0.0,0.0,3.06,1.67,1.28,1.45,0.33,0.89,1.61,0.552,0.72,0.89,0.39,1.45,4.51,2.28,0.17,55.55,3.95,14.97,32.62,8.85,1.28,55.55,1.11,0.78,0.7,0.17,0.15,30.78,163.14,87.77,1.39,0.06,0.61,0.5,37.35,0.0,1.78,1.67,0.0,0.0,0.0,0.0,4.01,1.78,1.17,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Vardy,eng ENG,Leicester City,FW,37,24-25,EPL,0.29,0.13,0.41,0.26,0.03,0.06,0.16,0.0,0.36,0.31,0.1,0.4,0.92,0.7,3.83,1.79,0.73,0.41100000000000003,0.14,0.35,12.1,0.03,0.17,-0.07,-0.05,8.23,12.4,0.6629999999999999,120.38,13.52,4.5,6.06,0.742,2.74,3.63,0.754,0.48,0.7,0.682,0.08,0.61,0.35,0.32,0.03,10.68,1.5,0.0,0.03,0.03,0.35,0.0,0.0,0.0,0.0,0.0,0.22,0.13,1.5,1.05,0.0,0.19,0.06,0.19,0.0,0.32,0.16,0.0,0.06,0.03,0.06,0.0,0.61,0.41,0.22,0.22,0.16,0.13,0.41,0.308,0.29,0.26,0.13,0.16,0.77,0.77,0.0,18.68,0.96,1.94,8.67,8.29,3.54,18.62,0.73,0.35,0.478,0.32,0.435,9.09,47.95,22.86,0.41,0.51,1.08,0.45,12.18,0.0,0.8,0.73,0.86,0.06,0.0,0.0,1.24,1.59,1.75,0.47600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
