Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
382,Eliot Matazo,be BEL,MF,Monaco,22,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
383,Kassoum Ouattara,,LB,Monaco,20,"€ 7,692 (£ 6,493, $7,929)","€ 400,000 (£ 337,631, $412,332)",Unverified estimation
384,Pablo Rosario,nl NED,"MF,DF",Nice,27,"€ 7,500 (£ 6,331, $7,731)","€ 390,000 (£ 329,190, $402,024)",Unverified estimation
385,Carlens Arcus,ht HAI,DF,Angers,28,"€ 7,500 (£ 6,331, $7,731)","€ 390,000 (£ 329,190, $402,024)",Unverified estimation
386,Abdoulaye Ndiaye,,CB,Brest,22,"€ 7,500 (£ 6,331, $7,731)","€ 390,000 (£ 329,190, $402,024)",Unverified estimation
387,Marcin Bułka,pl POL,GK,Nice,24,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
388,Théo Sainte-Luce,fr FRA,DF,Montpellier,25,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
389,Vincent Sierro,ch SUI,MF,Toulouse,28,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
390,Lasso Coulibaly,,RM,Auxerre,22,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
391,Ilyes Housni,,CF,Le Havre,19,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
392,Jacques Ekomié,,LB,Angers,21,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
393,Djaoui Cissé,,CM,Rennes,21,"€ 6,923 (£ 5,837, $7,749)","€ 360,000 (£ 303,549, $402,950)",Unverified estimation
394,Milos Lukovic,,CF,Strasbourg,18,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
395,Brice Maubleu,fr FRA,GK,Saint-Étienne,34,"€ 6,923 (£ 5,844, $7,137)","€ 360,000 (£ 303,867, $371,099)",Unverified estimation
396,Mathieu Gorgelin,fr FRA,GK,Le Havre,33,"€ 6,731 (£ 5,681, $6,938)","€ 350,000 (£ 295,427, $360,791)",Unverified estimation
397,Ludovic Butelle,fr FRA,GK,Reims,41,"€ 6,731 (£ 5,681, $6,938)","€ 350,000 (£ 295,427, $360,791)",Unverified estimation
398,Rafael Fernandes,,CB,Lille,22,"€ 6,731 (£ 5,681, $6,938)","€ 350,000 (£ 295,427, $360,791)",Unverified estimation
399,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27,"€ 6,731 (£ 5,681, $6,938)","€ 350,000 (£ 295,427, $360,791)",Unverified estimation
400,Theo Bair,ca CAN,FW,Auxerre,24,"€ 6,346 (£ 5,357, $6,542)","€ 330,000 (£ 278,545, $340,174)",Unverified estimation
401,Rassoul Ndiaye,sn SEN,MF,Le Havre,22,"€ 6,346 (£ 5,357, $6,542)","€ 330,000 (£ 278,545, $340,174)",Unverified estimation
